FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=17, fi_cycle=2181568, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=27, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2636, fi_cycle=525859, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=32, opcode=fmul
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2624, fi_cycle=3144726, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=6, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=17, fi_cycle=1908432, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=39, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2635, fi_cycle=2633818, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=49, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2665, fi_cycle=1425986, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=40, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=39, fi_cycle=703189, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=48, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=1387, fi_cycle=1790538, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=35, opcode=fmul
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=45, fi_cycle=384124, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=30, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2542, fi_cycle=2475344, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=39, opcode=call
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=20, fi_cycle=1292265, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=55, opcode=fmul
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2666, fi_cycle=445461, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=60, opcode=fmul
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2622, fi_cycle=2017055, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=30, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=1412, fi_cycle=1185473, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=31, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=47, fi_cycle=2805366, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=49, opcode=fadd
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2664, fi_cycle=453652, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=40, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2469, fi_cycle=2752497, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=33, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=42, fi_cycle=2817439, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=48, opcode=fmul
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=22, fi_cycle=2522545, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=51, opcode=fadd
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=90, fi_cycle=1889970, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=63, opcode=fmul
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2542, fi_cycle=3367112, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=41, opcode=call
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2622, fi_cycle=210006, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=43, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=4389, fi_cycle=2779614, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=13, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=3148, fi_cycle=3026429, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=23, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=19, fi_cycle=2790059, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=60, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2667, fi_cycle=2529213, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=34, opcode=fadd
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=3146, fi_cycle=3027744, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=30, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2609, fi_cycle=1725551, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=21, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=33, fi_cycle=2819017, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=49, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=4391, fi_cycle=969421, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=30, opcode=fmul
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=9, fi_cycle=1896357, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=62, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=37, fi_cycle=403529, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=43, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=39, fi_cycle=984391, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=38, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=28, fi_cycle=2209770, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=48, opcode=fmul
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2667, fi_cycle=3484449, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=44, opcode=fadd
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=1386, fi_cycle=1754142, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=30, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=3146, fi_cycle=3624657, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=29, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2361, fi_cycle=1004378, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=35, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2642, fi_cycle=2617694, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=27, opcode=add
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=3160, fi_cycle=1818798, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=31, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2614, fi_cycle=2933311, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=0, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=3149, fi_cycle=2420426, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=34, opcode=fadd
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=1470, fi_cycle=1797830, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=30, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2667, fi_cycle=1960819, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=32, opcode=fadd
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=467, fi_cycle=8961, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=36, opcode=fmul
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=17, fi_cycle=2827017, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=48, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=18, fi_cycle=1888339, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=52, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=40, fi_cycle=1885169, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=38, opcode=fadd
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=3173, fi_cycle=1818542, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=29, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=1470, fi_cycle=2097875, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=28, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=18, fi_cycle=1883551, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=38, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=75, fi_cycle=3399128, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=53, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=3149, fi_cycle=612347, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=30, opcode=fadd
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2641, fi_cycle=2909333, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=30, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=48, fi_cycle=87651, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=30, opcode=fdiv
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=36, fi_cycle=388168, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=46, opcode=fadd
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=6, fi_cycle=2196095, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=39, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=1479, fi_cycle=3006068, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=26, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=33, fi_cycle=2808589, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=45, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=50, fi_cycle=1896395, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=48, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=508, fi_cycle=1221396, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=1, fi_bit=0, opcode=icmp
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=3148, fi_cycle=1210120, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=38, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=23, fi_cycle=981165, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=47, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=399, fi_cycle=11840, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=2, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=4393, fi_cycle=665265, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=45, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=73, fi_cycle=2526533, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=59, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=38, fi_cycle=1897200, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=44, opcode=fmul
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2469, fi_cycle=2455221, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=28, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=3146, fi_cycle=1517634, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=27, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=4390, fi_cycle=1861000, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=34, opcode=sitofp
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=91, fi_cycle=3121954, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=47, opcode=fadd
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=3149, fi_cycle=2420334, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=38, opcode=fadd
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=3137, fi_cycle=2725634, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=29, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=40, fi_cycle=82030, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=43, opcode=fadd
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=35, fi_cycle=992376, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=48, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=22, fi_cycle=111763, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=50, opcode=fadd
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=11, fi_cycle=989933, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=1, fi_bit=0, opcode=fcmp
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=20, fi_cycle=405942, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=59, opcode=fmul
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=3147, fi_cycle=3328295, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=37, opcode=fmul
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=4393, fi_cycle=3079358, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=44, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2668, fi_cycle=3233165, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=33, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2542, fi_cycle=53821, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=44, opcode=call
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=18, fi_cycle=3399915, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=45, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=1470, fi_cycle=3570017, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=29, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=50, fi_cycle=2491135, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=43, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2638, fi_cycle=2529122, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=44, opcode=fadd
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2638, fi_cycle=509938, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=35, opcode=fadd
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=3148, fi_cycle=3025472, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=36, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=7, fi_cycle=2823809, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=55, opcode=fsub
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2615, fi_cycle=3168864, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=12, opcode=sext
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2664, fi_cycle=737032, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=39, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2635, fi_cycle=1401778, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=44, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=46, fi_cycle=3406390, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=43, opcode=fmul
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=3137, fi_cycle=3025300, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=33, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=3157, fi_cycle=3628336, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=40, opcode=fsub
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=108, fi_cycle=1592820, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=31, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=27, fi_cycle=3114682, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=46, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=3172, fi_cycle=3025792, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=42, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=3158, fi_cycle=611628, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=24, opcode=call
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=4390, fi_cycle=1865487, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=37, opcode=sitofp
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=1413, fi_cycle=3265077, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=24, opcode=call
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=3148, fi_cycle=2725982, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=37, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=21, fi_cycle=2827846, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=46, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2622, fi_cycle=3176858, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=35, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=32, fi_cycle=2528168, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=59, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=35, fi_cycle=3127647, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=34, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=4389, fi_cycle=56855, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=18, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2625, fi_cycle=2625759, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=3, opcode=mul
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=27, fi_cycle=392203, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=36, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=4390, fi_cycle=358033, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=38, opcode=sitofp
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2664, fi_cycle=3225256, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=53, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2635, fi_cycle=3508708, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=54, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=25, fi_cycle=3096200, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=30, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=72, fi_cycle=1290666, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=46, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=4390, fi_cycle=954416, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=30, opcode=sitofp
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2624, fi_cycle=2836846, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=3, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2638, fi_cycle=2537171, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=48, opcode=fadd
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=41, fi_cycle=1299531, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=63, opcode=load
