FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=4386, fi_cycle=3080299, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=38, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2560, fi_cycle=967485, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=26, opcode=add
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=4374, fi_cycle=657114, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=63, opcode=mul
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=4371, fi_cycle=670078, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=32, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2121, fi_cycle=4056, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=8, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2536, fi_cycle=3086915, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=23, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=4376, fi_cycle=1563656, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=25, opcode=mul
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2575, fi_cycle=1270561, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=29, opcode=add
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=4371, fi_cycle=1566891, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=58, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=24, fi_cycle=989944, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=56, opcode=fmul
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=4368, fi_cycle=3086881, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=36, opcode=sdiv
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2536, fi_cycle=2164405, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=17, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=1458, fi_cycle=1797955, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=31, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=4375, fi_cycle=669031, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=15, opcode=load
